"Rank","name","pop2022","pop2021","GrowthRate","area","Density"
"129","Oman","4576.2980","4520.4710","1.0123","309500","14.7861"
"130","Panama","4408.5810","4351.2670","1.0132","75417","58.4561"
"131","Kuwait","4268.8730","4250.1140","1.0044","17818","239.5821"
"132","Croatia","4030.3580","4060.1350","0.9927","56594","71.2153"
"133","Georgia","3744.3850","3757.9800","0.9964","69700","53.7214"
"134","Eritrea","3684.0320","3620.3120","1.0176","117600","31.3268"
"135","Uruguay","3422.7940","3426.2600","0.9990","181034","18.9069"
"136","Mongolia","3398.3660","3347.7820","1.0151","1564110","2.1727"
"137","Moldova","3272.9960","3061.5060","1.0691","33846","96.7026"
"138","Puerto Rico","3252.4070","3256.0280","0.9989","8870","366.6750"
"139","Bosnia and Herzegovina","3233.5260","3270.9430","0.9886","51209","63.1437"
"140","Wales","3193.6650","","1.0038","20779","153.6968"
"141","Albania","2842.3210","2854.7100","0.9957","28748","98.8702"
"142","Jamaica","2827.3770","2827.6950","0.9999","10991","257.2447"
"143","Armenia","2780.4690","2790.9740","0.9962","29743","93.4831"
"144","Lithuania","2750.0550","2786.6510","0.9869","65300","42.1142"
"145","Gambia","2705.9920","2639.9160","1.0250","10689","253.1567"
"146","Qatar","2695.1220","2688.2350","1.0026","11586","232.6189"
"147","Botswana","2630.2960","2588.4230","1.0162","582000","4.5194"
"148","Namibia","2567.0120","2530.1510","1.0146","825615","3.1092"
"149","Gabon","2388.9920","2341.1790","1.0204","267668","8.9252"
"150","Lesotho","2305.8250","2281.4540","1.0107","30355","75.9620"
"151","Slovenia","2119.8440","2119.4100","1.0002","20273","104.5649"
"152","Guinea-Bissau","2105.5660","2060.7210","1.0218","36125","58.2856"
"153","North Macedonia","2093.5990","2103.3300","0.9954","25713","81.4218"
"154","Northern Ireland","1914.0400","","1.0049","13562","141.1326"
"155","Latvia","1850.6510","1873.9190","0.9876","64559","28.6660"
"156","Kosovo","1802.2500","","1.0011","10887","165.5415"
"157","Equatorial Guinea","1674.9080","1634.4660","1.0247","28051","59.7094"
"158","Trinidad and Tobago","1531.0440","1525.6630","1.0035","5130","298.4491"
"159","Bahrain","1472.2330","1463.2650","1.0061","765","1924.4876"
"160","Timor-Leste","1341.2960","1320.9420","1.0154","14874","90.1772"
"161","Estonia","1326.0620","1328.7010","0.9980","45227","29.3201"
"162","Mauritius","1299.4690","1298.9150","1.0004","2040","636.9946"
"163","Cyprus","1251.4880","1244.1880","1.0059","9251","135.2814"
"164","Eswatini","1201.6700","1192.2710","1.0079","17364","69.2047"
"165","Djibouti","1120.8490","1105.5570","1.0138","23200","48.3125"
"166","Reunion","974.0520","966.1290","1.0082","2511","387.9140"
"167","Fiji","929.7660","924.6100","1.0056","18272","50.8847"
"168","Comoros","836.7740","821.6250","1.0184","1862","449.3953"
"169","Guyana","808.7260","804.5670","1.0052","214969","3.7621"
"170","Bhutan","782.4550","777.4860","1.0064","38394","20.3796"
"171","Solomon Islands","724.2730","707.8510","1.0232","28896","25.0648"
"172","Luxembourg","647.5990","639.3210","1.0129","2586","250.4250"
"173","Montenegro","627.0820","627.8590","0.9988","13812","45.4012"
"174","Suriname","618.0400","612.9850","1.0082","163820","3.7727"
"175","Cape Verde","593.1490","587.9250","1.0089","4033","147.0739"
"176","Western Sahara","575.9860","565.5810","1.0184","266000","2.1654"
"177","Malta","533.2860","526.7480","1.0124","316","1687.6139"
"178","Maldives","523.7870","521.4570","1.0045","300","1745.9567"
"179","Brunei","449.0020","445.3730","1.0081","5765","77.8841"
"180","Bahamas","409.9840","407.9060","1.0051","13943","29.4043"
"181","Belize","405.2720","400.0310","1.0131","22966","17.6466"
"182","Guadeloupe","395.7520","396.0510","0.9992","1628","243.0909"
"183","Iceland","372.8990","370.3350","1.0069","103000","3.6204"
"184","Martinique","367.5070","368.7960","0.9965","1128","325.8041"
"185","Vanuatu","326.7400","319.1370","1.0238","12189","26.8061"
"186","Mayotte","326.1010","316.0140","1.0319","374","871.9278"
"187","French Guiana","304.5570","297.4490","1.0239","83534","3.6459"
"188","Barbados","281.6350","281.2000","1.0015","430","654.9651"
"189","Sao Tome and Principe","227.3800","223.1070","1.0192","964","235.8714"
"190","Samoa","222.3820","218.7640","1.0165","2842","78.2484"
"191","Saint Lucia","179.8570","179.6510","1.0011","616","291.9756"
"192","Kiribati","131.2320","128.8740","1.0183","811","161.8150"
"193","Grenada","125.4380","124.6100","1.0066","344","364.6453"
"194","Micronesia","114.1640","113.1310","1.0091","702","162.6268"
"195","Seychelles","107.1180","106.4710","1.0061","452","236.9867"
"196","Tonga","106.8580","106.0170","1.0079","747","143.0495"
"197","Saint Vincent and the Grenadines","103.9480","104.3320","0.9963","389","267.2185"
"198","Antigua and Barbuda","93.7630","93.2190","1.0058","442","212.1335"
"199","Andorra","79.8240","79.0340","1.0100","468","170.5641"
"200","Dominica","72.7370","72.4120","1.0045","751","96.8535"
"201","Greenland","56.4660","56.2430","1.0040","2166086","0.0261"
"202","Saint Kitts and Nevis","47.6570","47.6060","1.0011","261","182.5939"
"203","Marshall Islands","41.5690","42.0500","0.9886","181","229.6630"
"204","Liechtenstein","39.3270","39.0390","1.0074","160","245.7937"
"205","Monaco","36.4690","36.6860","0.9941","2","18234.5000"
"206","San Marino","33.6600","33.7450","0.9975","61","551.8033"
"207","Palau","18.0550","18.0240","1.0017","459","39.3355"
"208","Nauru","12.6680","12.5110","1.0125","21","603.2381"
"209","Tuvalu","11.3120","11.2040","1.0096","26","435.0769"
"210","Vatican City","0.5100","0.5110","0.9980","1","510"
