Rank,name,pop2022,pop2021,GrowthRate,area,Density,,,,,,,,,,,,
135,Uruguay,3422.794,3426.26,-0.10,181034,19,,,,,,,,,,,,
136,Mongolia,3398.366,3347.782,1.51,1564110,2,,,,,,,,,,,,
137,Moldova,3272.996,3061.506,6.91,33846,97,,,,,,,,,,,,
138,Puerto Rico,3252.407,3256.028,-0.11,8870,367,,,,,,,,,,,,
139,Bosnia and Herzegovina,3233.526,3270.943,-1.14,51209,63,,,,,,,,,,,,
140,Wales,3193.665,,0.38,20779,154,,,,,,,,,,,,
141,Albania,2842.321,2854.71,-0.43,28748,99,,,,,,,,,,,,
142,Jamaica,2827.377,2827.695,-0.01,10991,257,,,,,,,,,,,,
143,Armenia,2780.469,2790.974,-0.38,29743,93,,,,,,,,,,,,
144,Lithuania,2750.055,2786.651,-1.31,65300,42,,,,,,,,,,,,
145,Gambia,2705.992,2639.916,2.50,10689,253,,,,,,,,,,,,
146,Qatar,2695.122,2688.235,0.26,11586,233,,,,,,,,,,,,
147,Botswana,2630.296,2588.423,1.62,582000,5,,,,,,,,,,,,
148,Namibia,2567.012,2530.151,1.46,825615,3,,,,,,,,,,,,
149,Gabon,2388.992,2341.179,2.04,267668,9,,,,,,,,,,,,
150,Lesotho,2305.825,2281.454,1.07,30355,76,,,,,,,,,,,,
151,Slovenia,2119.844,2119.41,0.02,20273,105,,,,,,,,,,,,
152,Guinea-Bissau,2105.566,2060.721,2.18,36125,58,,,,,,,,,,,,
153,North Macedonia,2093.599,2103.33,-0.46,25713,81,,,,,,,,,,,,
154,Northern Ireland,1914.04,,0.49,13562,141,,,,,,,,,,,,
155,Latvia,1850.651,1873.919,-1.24,64559,29,,,,,,,,,,,,
156,Kosovo,1802.25,,0.11,10887,166,,,,,,,,,,,,
157,Equatorial Guinea,1674.908,1634.466,2.47,28051,60,,,,,,,,,,,,
158,Trinidad and Tobago,1531.044,1525.663,0.35,5130,298,,,,,,,,,,,,
159,Bahrain,1472.233,1463.265,0.61,765,1924,,,,,,,,,,,,
160,Timor-Leste,1341.296,1320.942,1.54,14874,90,,,,,,,,,,,,
161,Estonia,1326.062,1328.701,-0.20,45227,29,,,,,,,,,,,,
162,Mauritius,1299.469,1298.915,0.04,2040,637,,,,,,,,,,,,
163,Cyprus,1251.488,1244.188,0.59,9251,135,,,,,,,,,,,,
164,Eswatini,1201.67,1192.271,0.79,17364,69,,,,,,,,,,,,
165,Djibouti,1120.849,1105.557,1.38,23200,48,,,,,,,,,,,,
166,Reunion,974.052,966.129,0.82,2511,388,,,,,,,,,,,,
167,Fiji,929.766,924.61,0.56,18272,51,,,,,,,,,,,,
168,Comoros,836.774,821.625,1.84,1862,449,,,,,,,,,,,,
169,Guyana,808.726,804.567,0.52,214969,4,,,,,,,,,,,,
170,Bhutan,782.455,777.486,0.64,38394,20,,,,,,,,,,,,
171,Solomon Islands,724.273,707.851,2.32,28896,25,,,,,,,,,,,,
172,Luxembourg,647.599,639.321,1.29,2586,250,,,,,,,,,,,,
173,Montenegro,627.082,627.859,-0.12,13812,45,,,,,,,,,,,,
174,Suriname,618.04,612.985,0.82,163820,4,,,,,,,,,,,,
175,Cape Verde,593.149,587.925,0.89,4033,147,,,,,,,,,,,,
176,Western Sahara,575.986,565.581,1.84,266000,2,,,,,,,,,,,,
177,Malta,533.286,526.748,1.24,316,1688,,,,,,,,,,,,
178,Maldives,523.787,521.457,0.45,300,1746,,,,,,,,,,,,
179,Brunei,449.002,445.373,0.81,5765,78,,,,,,,,,,,,
180,Bahamas,409.984,407.906,0.51,13943,29,,,,,,,,,,,,
181,Belize,405.272,400.031,1.31,22966,18,,,,,,,,,,,,
182,Guadeloupe,395.752,396.051,-0.08,1628,243,,,,,,,,,,,,
183,Iceland,372.899,370.335,0.69,103000,4,,,,,,,,,,,,
184,Martinique,367.507,368.796,-0.35,1128,326,,,,,,,,,,,,
185,Vanuatu,326.74,319.137,2.38,12189,27,,,,,,,,,,,,
186,Mayotte,326.101,316.014,3.19,374,872,,,,,,,,,,,,
187,French Guiana,304.557,297.449,2.39,83534,4,,,,,,,,,,,,
188,Barbados,281.635,281.2,0.15,430,655,,,,,,,,,,,,
189,Sao Tome and Principe,227.38,223.107,1.92,964,236,,,,,,,,,,,,
190,Samoa,222.382,218.764,1.65,2842,78,,,,,,,,,,,,
191,Saint Lucia,179.857,179.651,0.11,616,292,,,,,,,,,,,,
192,Kiribati,131.232,128.874,1.83,811,162,,,,,,,,,,,,
193,Grenada,125.438,124.61,0.66,344,365,,,,,,,,,,,,
194,Micronesia,114.164,113.131,0.91,702,163,,,,,,,,,,,,
195,Seychelles,107.118,106.471,0.61,452,237,,,,,,,,,,,,
196,Tonga,106.858,106.017,0.79,747,143,,,,,,,,,,,,
197,Saint Vincent and the Grenadines,103.948,104.332,-0.37,389,267,,,,,,,,,,,,
198,Antigua and Barbuda,93.763,93.219,0.58,442,212,,,,,,,,,,,,
199,Andorra,79.824,79.034,1.00,468,171,,,,,,,,,,,,
200,Dominica,72.737,72.412,0.45,751,97,,,,,,,,,,,,
201,Greenland,56.466,56.243,0.40,2166086,0,,,,,,,,,,,,
202,Saint Kitts and Nevis,47.657,47.606,0.11,261,183,,,,,,,,,,,,
203,Marshall Islands,41.569,42.05,-1.14,181,230,,,,,,,,,,,,
204,Liechtenstein,39.327,39.039,0.74,160,246,,,,,,,,,,,,
205,Monaco,36.469,36.686,-0.59,2,18235,,,,,,,,,,,,
206,San Marino,33.66,33.745,-0.25,61,552,,,,,,,,,,,,
207,Palau,18.055,18.024,0.17,459,39,,,,,,,,,,,,
208,Nauru,12.668,12.511,1.25,21,603,,,,,,,,,,,,
209,Tuvalu,11.312,11.204,0.96,26,435,,,,,,,,,,,,
210,Vatican City,0.51,0.511,-0.20,1,510,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
